No.,d,g_y,d_pixel,
985,2.3,334,530,
986,2.4,333,534,
987,2.3,320,467,
988,2.1,320,429,
989,2.4,320,489,
990,2.3,319,471,
991,2.4,338,478,
992,2.5,320,487,
993,2.3,319,498,
994,2.5,327,579,
995,2.3,319,571,
996,2.4,320,467,
997,2.2,319,434,
998,2.3,335,463,
999,2.4,323,536,
1000,2.3,319,528,
1001,2.4,333,473,
1002,2.1,320,437,
1003,2.0,320,401,
1004,2.0,320,514,
1005,2.1,319,439,
1006,1.9,321,403,
1008,2.0,320,408,
1009,2.0,320,403,
1010,2.0,319,409,
1011,1.8,320,477,
1012,1.8,320,380,
1013,1.9,320,396,
1014,2.0,320,411,
1015,1.8,320,380,
1016,2.1,344,507,
1017,1.9,320,404,
1018,1.9,345,433,
1019,2.0,320,404,
1020,1.7,321,421,
1021,1.7,320,370,
1022,1.8,319,382,
1023,1.9,319,406,
1024,2.1,320,418,
1025,2.1,320,496,
1026,2.0,319,446,
1027,2.0,320,546,
1028,2.1,320,421,
1029,1.8,320,388,
1030,1.9,319,392,
1031,1.8,320,388,
1032,1.9,321,469,
1033,2.0,319,458,
1034,1.9,320,511,
1035,1.7,320,376,
1036,1.8,319,501,
1037,2.2,340,544,
1038,2.5,320,518,
1039,2.3,319,478,
1040,2.3,320,468,
1041,2.0,320,436,
1042,2.4,319,532,
1043,2.3,319,526,
1044,2.3,345,472,
1045,2.5,320,598,
1046,2.2,319,436,
1047,2.3,319,483,
1048,2.3,320,540,
1049,2.3,337,465,
1050,2.0,318,414,
1051,1.8,320,393,
1052,2.0,332,432,
1053,2.1,320,428,
1054,1.9,319,424,
1055,1.8,320,445,
1056,1.9,319,529,
1057,2.0,319,504,
1058,2.0,320,410,
1059,1.8,319,384,
1060,1.7,320,383,
1061,1.8,320,398,
1062,1.9,330,400,
1063,1.9,320,394,
1064,1.9,320,398,
1065,1.9,320,386,
1066,1.8,320,370,
1067,1.8,320,525,
1068,1.8,320,383,
1069,1.9,320,396,
1070,1.9,320,411,
1071,1.9,319,501,
1072,1.8,319,528,
1073,2.0,319,404,
1085,2.2,334,454,
1086,2.3,320,465,
1087,2.2,319,446,
1088,2.4,321,482,
1089,2.3,320,473,
1090,2.4,319,486,
1091,2.3,320,468,
1092,2.2,319,468,
1094,2.5,319,527,
1095,2.3,320,475,
1096,2.2,329,466,
1097,2.3,319,578,
1098,2.2,332,448,
1099,2.2,319,486,
1100,2.4,318,542,
1101,2.2,320,440,
1102,2.3,320,480,
1103,1.8,319,388,
1104,1.8,325,354,
1105,1.9,320,361,
1106,1.8,320,346,
1107,2.0,320,424,
1108,2.0,320,425,
1109,1.9,319,536,
1110,2.0,319,403,
1111,2.0,320,403,
1112,1.9,320,488,
1113,2.0,320,434,
1114,1.9,319,510,
1115,1.8,319,500,
1116,1.8,304,497,
1117,1.7,316,494,
1118,1.7,318,411,
1121,2.2,335,510,
1122,2.3,320,468,
1123,2.3,319,503,
1124,2.4,320,479,
1125,2.3,322,449,
1126,2.2,334,466,
1127,2.3,320,474,
1129,1.8,320,632,
1131,1.7,322,491,
1132,1.8,320,454,
1133,1.8,322,621,
1134,1.7,335,470,
1135,1.8,323,475,
1137,2.5,320,514,
1138,2.5,319,501,
1139,2.8,320,528,
1140,2.7,319,533,
1142,2.6,319,518,
1143,2.8,319,560,
1144,2.4,318,490,
1145,2.6,320,521,
1146,2.7,321,525,
1147,2.7,320,525,
1148,2.7,319,543,
1149,2.7,320,527,
1150,2.4,319,492,
1151,2.7,319,541,
1152,2.6,320,515,
1153,2.5,320,503,
1154,2.8,319,547,
1155,2.7,320,533,
1156,2.4,319,480,
1157,2.4,320,534,
1158,2.6,319,518,
1159,2.5,319,493,
1160,2.6,320,523,
1161,2.4,323,494,
1162,2.7,321,524,
1163,2.6,319,516,
1164,2.5,320,488,
1165,2.7,320,535,
1166,2.5,319,621,
1167,2.6,320,519,
1168,2.8,319,551,
1169,2.4,319,500,
1170,2.8,319,553,
1171,2.6,320,514,
1172,2.6,320,513,
1173,2.7,331,528,
1174,2.6,320,517,
1175,2.6,319,519,
1176,2.6,320,516,
1177,2.7,320,526,
1178,2.7,319,538,
1179,2.5,319,566,
1180,2.5,320,503,
1181,2.5,319,510,
1182,2.4,322,500,
1183,2.8,320,557,
1184,2.4,320,495,
1185,2.6,319,498,
1186,2.5,320,504,
1187,2.6,319,507,
1188,2.5,320,505,
1189,2.5,320,511,
1190,2.5,320,507,
1191,2.5,319,503,
1192,2.7,320,531,
1193,2.5,320,510,
1194,2.5,320,496,
1195,2.6,320,519,
1196,2.5,320,523,
1197,2.6,320,509,
1198,2.4,319,507,
1199,2.4,320,499,
1200,2.7,324,542,
1201,2.6,320,508,
1202,2.5,319,506,
1203,2.3,320,488,
1204,2.6,319,511,
1205,2.4,320,485,
1206,2.7,320,510,
1207,2.6,319,512,
1208,2.6,319,530,
1209,2.4,319,494,
1210,2.4,319,495,
1211,2.5,319,512,
1212,2.6,320,519,
1213,2.4,319,492,
1214,2.7,320,529,
1215,2.5,319,488,
1216,2.7,319,529,
1217,2.4,319,488,
1218,2.6,320,519,
1219,2.3,320,478,
1220,2.6,320,511,
1221,2.8,319,545,
1222,2.5,320,498,
1223,2.6,319,524,
1224,2.8,319,548,
1225,2.4,320,474,
1226,2.6,319,523,
1227,2.4,320,499,
1228,2.5,319,499,
1229,2.4,320,494,
1230,2.5,320,511,
1231,2.5,319,508,
1232,2.5,319,577,
1233,2.5,320,532,
1234,2.6,320,527,
1235,2.6,320,525,
1236,2.6,320,514,
1237,2.6,320,524,
1238,2.6,319,523,
1239,2.4,321,480,
1240,2.6,320,498,
1241,2.6,321,508,
1242,2.6,320,520,
1243,2.5,320,564,
1244,2.7,319,530,
1245,2.6,319,509,
1247,2.8,319,553,
1248,2.7,320,538,
1249,2.5,319,498,
1250,2.5,320,503,
1251,2.5,319,495,
1252,2.5,320,493,
1253,2.5,320,514,
1254,2.5,320,505,
1255,2.5,318,495,
1256,2.4,332,484,
1257,2.7,319,523,
1258,2.7,320,519,
1259,2.4,318,498,
1260,2.8,319,543,
1261,2.5,320,518,
1262,2.4,319,500,
1263,2.4,320,480,
1264,2.6,319,512,
1265,2.5,319,500,
1267,2.5,320,507,
1268,2.4,320,524,
1269,2.3,320,470,
1270,2.5,320,513,
1271,2.6,320,527,
1272,2.6,319,513,
1273,2.4,319,496,
1274,2.7,320,528,
1275,2.5,320,500,
1276,2.5,319,515,
1277,2.8,320,535,
1278,2.6,320,516,
1279,2.7,320,528,
1280,2.6,320,557,
1281,2.5,320,510,
1282,2.6,319,510,
1283,2.4,320,497,
1284,2.6,320,518,
1285,2.8,323,559,
1287,2.6,321,518,
1288,2.5,320,509,
1289,2.4,320,504,
1290,2.4,320,490,
1291,2.6,320,523,
1292,2.6,320,549,
1293,2.6,320,509,
1294,2.5,320,507,
1295,2.4,320,486,
1296,2.5,320,512,
1297,2.5,319,518,
1298,2.4,320,497,
1299,2.5,320,520,
1300,2.5,320,507,
1301,2.4,320,484,
1302,2.5,319,534,
1303,2.5,319,495,
1305,2.5,320,495,
1306,2.6,320,530,
1307,2.7,320,532,
1308,2.6,320,489,
1309,2.5,319,507,
1310,2.5,320,503,
1311,2.6,320,512,
1312,2.5,320,505,
1313,2.5,320,501,
1314,2.3,320,481,
1315,2.5,320,512,
1316,2.5,321,517,
1317,2.5,321,515,
1318,2.7,320,534,
1319,2.6,320,522,
1320,2.4,319,486,
1321,2.5,320,504,
1322,2.4,320,502,
1323,2.4,320,496,
1324,2.4,320,481,
1325,2.5,320,506,
1326,2.6,320,532,
1327,2.4,319,501,
1328,2.6,319,515,
1329,2.4,319,508,
1330,2.4,320,498,
1331,2.5,320,498,
1332,2.5,319,524,
1333,2.6,320,523,
1334,2.4,320,483,
1335,2.6,321,562,
1336,2.5,324,512,
1337,2.6,319,531,
1338,2.5,320,540,
1339,2.7,319,503,
1340,2.6,319,520,
1341,2.6,320,516,
1342,2.7,319,518,
1343,2.2,319,479,
1344,2.5,318,504,
1345,2.6,319,526,
1346,2.5,320,512,
1347,2.6,320,506,
1348,2.4,320,488,
1349,2.4,318,501,
1350,2.8,319,548,
1351,2.5,320,515,
1352,2.4,319,532,
1353,2.8,319,511,
1354,2.5,319,506,
1355,2.4,320,536,
1356,2.4,320,499,
1357,2.4,319,495,
1358,2.6,319,529,
1361,2.5,320,526,
1362,2.6,319,532,
1363,2.5,320,500,
1365,2.4,319,491,
1366,2.6,319,522,
1368,2.5,319,502,
1369,2.4,319,548,
1371,2.4,320,501,
1372,2.5,330,533,
1373,2.4,319,478,
1374,2.4,319,483,
1375,2.5,320,498,
1376,2.6,320,521,
1377,2.4,320,499,
1378,2.3,323,480,
1379,2.5,326,495,
1381,2.5,319,491,
1382,2.5,320,480,
1383,2.4,320,480,
1384,2.3,324,576,
1385,2.4,320,485,
1386,2.4,319,572,
1387,2.4,319,483,
1388,2.5,320,514,
1389,2.5,320,525,
1390,2.3,320,481,
1392,2.4,318,479,
1393,2.4,319,537,
1394,2.6,320,500,
1395,2.5,319,513,
1396,2.4,320,477,
1397,2.5,320,487,
1398,2.4,320,486,
1399,2.4,320,493,
1400,2.5,320,505,
1401,2.4,319,480,
1402,2.4,319,482,
1403,2.4,320,488,
1404,2.4,320,494,
1405,2.5,319,495,
1406,2.4,319,526,
1407,2.3,320,570,
1408,2.4,319,541,
1409,2.4,319,497,
1410,2.4,319,486,
1411,2.4,319,495,
1412,2.5,319,534,
1413,2.4,334,488,
1414,2.4,320,485,
1415,2.3,320,478,
1416,2.3,325,463,
1417,2.5,319,489,
1418,2.4,319,496,
1419,2.5,319,487,
1420,2.5,319,497,
1421,2.5,319,487,
1422,2.5,320,493,
1423,2.3,319,470,
1424,2.4,320,490,
1425,2.3,320,571,
1426,2.4,319,526,
1427,2.6,319,521,
1428,2.4,320,579,
1429,2.4,320,483,
1430,2.2,329,478,
1431,2.4,320,481,
1432,2.4,320,492,
1433,2.4,328,483,
1435,2.5,319,501,
1436,2.4,326,480,
1437,2.4,319,476,
1438,2.6,321,499,
1439,2.4,334,498,
1440,2.5,319,551,
1441,2.4,320,473,
1443,2.5,320,506,
1444,2.4,318,550,
1445,2.4,320,484,
1446,2.5,319,497,
1447,2.4,319,485,
1448,2.4,320,491,
1449,2.5,324,563,
1450,2.5,319,490,
1451,2.4,321,491,
1452,2.3,321,474,
1453,2.5,319,481,
1454,2.4,319,481,
1455,2.3,320,467,
1456,2.4,320,491,
1457,2.5,320,491,
1458,2.5,320,513,
1459,2.4,319,483,
1460,2.3,321,527,
1461,2.4,322,547,
1462,2.3,332,482,
1463,2.5,319,490,
1464,2.5,320,489,
1465,2.4,319,471,
1466,2.4,320,484,
1467,2.3,319,468,
1468,2.5,319,522,
1469,2.4,320,497,
1470,2.5,319,485,
1472,2.3,320,483,
1473,2.4,320,489,
1474,2.3,320,472,
1475,2.5,319,507,
1476,2.4,319,484,
1477,2.4,319,477,
1478,2.5,335,496,
1479,2.3,336,558,
1480,2.5,325,501,
1482,2.5,319,504,
1483,2.3,320,553,
1484,2.6,319,508,
1485,2.4,319,486,
1486,2.5,319,487,
1487,2.3,320,466,
1488,2.4,320,492,
1489,2.3,328,584,
1490,2.3,319,490,
1491,2.5,320,496,
1492,2.5,319,545,
1493,2.3,320,471,
1494,2.4,321,489,
1495,2.5,320,584,
1496,2.5,319,492,
1497,2.5,320,497,
1498,2.3,320,482,
1499,2.3,320,536,
1500,2.5,319,498,
1501,2.3,319,472,
1503,2.6,319,526,
1504,2.4,320,477,
1505,2.3,320,464,
1506,2.4,320,522,
1507,2.4,320,492,
1508,2.3,320,467,
1509,2.4,320,499,
1510,2.5,319,516,
1511,2.3,319,470,
1512,2.6,320,535,
1513,2.3,320,480,
1514,2.5,319,512,
1515,2.5,319,534,
1516,2.3,320,471,
1517,2.3,319,496,
1518,2.3,319,469,
1519,2.4,320,475,
1520,2.3,319,496,
1521,2.4,320,551,
1522,2.3,319,565,
1523,2.5,320,503,
1524,2.3,320,492,
1525,2.6,319,511,
1526,2.3,321,465,
1527,2.5,319,490,
1528,2.3,320,460,
1529,2.6,319,517,
1530,2.8,319,595,
1531,2.5,320,541,
1532,2.6,320,572,
1533,2.4,319,561,
1534,2.3,319,564,
1535,2.2,320,465,
1536,2.5,320,640,
1537,2.3,319,515,
1538,2.3,320,580,
1539,2.3,320,485,
1540,2.3,319,479,
1541,2.3,319,513,
1542,2.6,320,570,
1543,2.6,320,506,
1544,2.4,320,472,
1545,2.3,320,466,
1546,2.3,320,572,
1547,2.3,320,462,
1548,2.5,319,543,
1549,2.4,320,521,
1550,2.3,320,493,
1551,2.3,319,474,
1552,2.5,319,525,
1553,2.3,319,479,
1554,2.7,331,562,
1555,2.3,330,468,
1556,2.5,328,500,
1557,2.3,320,481,
1558,2.3,320,467,
1559,2.3,320,483,
1560,2.6,320,515,
1561,2.5,319,487,
1562,2.4,319,483,
1563,2.6,320,616,
1564,2.9,320,556,
1565,2.3,320,473,
1566,2.6,320,512,
1567,2.6,319,596,
1568,2.2,319,462,
1569,2.6,319,523,
1570,2.5,320,571,
1571,2.3,320,476,
1573,2.5,319,494,
1574,2.7,320,535,
1575,2.3,320,529,
1576,2.5,320,573,
1577,2.3,336,461,
1578,2.5,320,507,
1579,2.5,320,509,
1580,2.8,319,542,
1581,2.6,321,587,
1582,2.4,321,484,
1583,2.5,320,514,
1584,2.6,319,526,
1585,3.0,319,570,
1586,3.0,320,573,
1587,2.8,320,561,
1588,2.7,319,536,
1589,2.9,319,555,
1590,2.6,318,577,
1591,2.8,319,536,
1592,2.8,318,541,
1593,2.8,320,537,
1594,2.7,320,528,
1595,2.6,320,523,
1596,2.5,319,505,
1597,2.9,319,558,
1598,2.6,319,508,
1599,2.8,319,543,
1600,2.8,319,546,
1601,2.5,320,505,
1602,2.7,319,525,
1603,2.8,319,539,
1604,2.8,320,543,
1605,2.7,320,529,
1606,2.8,328,540,
1607,2.8,320,605,
1608,2.6,319,518,
1609,2.7,319,532,
1610,2.5,320,496,
1611,2.7,319,570,
1612,2.8,319,552,
1621,2.9,319,560,
1622,3.0,321,566,
1623,2.8,319,542,
1624,2.9,320,573,
1625,2.8,319,548,
1626,2.8,319,533,
1627,2.8,320,551,
1628,2.9,319,554,
1629,2.8,320,561,
1630,2.7,321,518,
1631,2.9,320,558,
1632,2.9,320,562,
1633,2.9,320,558,
1634,2.7,319,526,
1635,2.7,321,573,
1636,2.9,320,555,
1637,2.7,320,525,
1638,2.8,320,536,
1639,2.8,320,585,
1640,2.7,319,518,
1641,2.9,320,567,
1642,2.9,319,562,
1643,2.9,321,588,
1644,2.7,319,524,
1645,2.9,320,565,
1646,2.8,320,562,
1647,2.9,321,558,
1648,2.8,320,538,
1649,2.9,320,603,
1650,2.7,321,529,
1651,3.0,320,594,
1652,2.8,319,539,
1653,2.8,319,548,
1654,2.8,319,543,
1655,2.8,319,553,
1656,2.9,319,583,
1657,2.8,320,543,
1658,2.6,318,507,
1659,2.9,319,563,
1660,3.1,319,594,
1661,2.8,320,555,
1662,3.0,320,570,
1663,2.9,319,564,
1664,2.9,319,578,
1665,2.9,319,544,
1667,2.6,324,525,
1668,2.8,319,628,
1669,2.8,320,541,
1670,3.0,319,587,
1671,2.6,320,588,
1672,2.8,320,588,
1673,2.7,318,531,
1674,3.0,319,585,
1675,2.8,319,586,
1676,2.7,319,532,
1677,2.9,320,612,
1678,2.8,319,545,
1679,2.9,319,567,
1680,2.8,320,545,
1681,2.8,320,550,
1682,2.6,319,515,
1683,2.7,320,558,
1684,2.9,324,576,
1685,2.6,319,519,
1686,2.6,320,511,
1687,2.6,319,518,
1688,2.5,325,491,
1689,2.4,320,471,
1690,2.4,319,534,
1691,2.5,320,491,
1692,2.4,320,478,
1693,2.3,319,455,
1694,2.4,319,476,
1695,2.8,319,554,
1696,2.8,320,544,
1697,2.3,319,490,
1698,2.8,320,547,
1699,2.6,320,500,
1700,2.4,320,475,
1701,2.4,319,479,
1702,2.9,319,566,
1703,2.3,319,467,
1704,2.6,319,503,
1705,2.5,319,506,
1706,2.6,319,536,
1707,2.6,320,520,
1708,2.5,320,515,
1709,2.8,319,538,
1710,2.4,319,487,
1711,2.8,320,533,
1713,2.6,321,525,
1714,2.8,319,545,
1715,2.7,320,538,
1716,2.7,320,593,
1717,2.8,319,546,
1718,2.4,320,483,
1719,2.8,319,538,
1720,2.6,319,506,
1721,2.8,320,558,
1722,2.8,320,549,
1723,2.9,319,600,
1724,2.8,320,545,
1725,2.4,320,473,
1726,2.4,319,477,
1727,2.6,319,525,
1728,2.7,318,531,
1729,2.7,320,562,
1730,2.2,320,453,
1731,2.4,320,496,
1732,2.9,320,569,
1733,2.9,320,567,
1734,2.6,319,522,
1735,2.5,320,494,
1736,2.7,320,528,
1737,2.8,319,533,
1738,2.8,320,551,
1739,2.8,319,557,
1740,2.4,319,499,
1741,2.6,319,516,
1742,2.3,319,505,
1743,2.7,320,540,
1744,2.5,319,492,
1745,2.6,319,522,
1746,2.6,320,508,
1747,2.8,320,550,
1748,2.4,319,465,
1749,2.6,319,512,
1750,2.5,319,513,
1751,2.6,319,506,
1753,2.4,319,476,
1754,2.4,319,486,
1755,2.2,320,472,
1756,2.6,320,515,
1757,2.5,320,547,
1758,2.9,319,545,
1759,2.6,320,504,
1760,2.5,319,491,
1761,2.7,319,519,
1762,2.7,320,543,
1763,2.6,319,523,
1764,2.5,318,511,
1765,2.8,319,549,
1767,2.9,319,560,
1768,2.9,320,564,
1769,2.8,319,555,
1770,2.5,320,507,
1771,2.6,319,517,
1773,2.6,325,518,
1774,2.6,319,515,
1775,2.8,319,566,
1776,2.4,320,489,
1777,2.4,319,484,
1778,2.6,319,529,
1779,2.5,319,489,
1780,2.8,319,542,
1781,2.8,319,540,
1782,2.8,319,542,
1783,2.6,320,497,
1784,2.5,320,503,
1785,2.8,319,553,
1786,2.6,320,516,
1787,3.0,320,588,
1788,2.3,319,486,
1789,2.4,319,477,
1790,2.9,323,576,
1791,2.5,320,511,
1792,2.8,320,547,
1793,2.5,320,504,
1794,2.4,319,482,
1795,2.4,319,497,
1796,2.3,320,479,
1797,2.8,319,540,
1798,2.3,320,503,
1799,2.2,319,516,
1800,2.1,320,491,
1801,2.3,320,552,
1802,2.3,320,480,
1803,2.6,319,504,
1804,2.4,319,484,
1805,2.4,319,479,
1806,2.3,318,542,
1807,2.3,319,495,
1808,2.5,320,490,
1809,2.7,321,524,
1810,2.2,319,499,
1811,2.3,319,483,
1812,2.7,319,519,
1813,2.5,319,543,
1814,2.4,320,520,
1815,2.3,319,508,
1816,2.2,319,590,
1817,2.3,319,485,
1818,2.3,318,470,
1819,2.3,319,505,
1820,2.5,319,504,
1821,2.1,319,483,
1822,2.2,322,508,
1824,2.2,320,486,
1825,2.6,319,513,
1826,2.4,319,478,
1827,2.5,318,487,
1828,2.4,318,495,
1829,2.6,319,506,
1830,2.4,319,481,
1831,2.1,319,475,
1832,2.6,323,499,
1833,2.3,319,454,
1834,2.2,327,453,
1835,2.4,320,488,
1836,2.6,320,546,
1837,2.8,318,534,
1838,2.3,318,453,
1839,2.3,319,465,
1840,2.4,318,497,
1841,2.6,319,510,
1842,2.4,319,558,
1843,2.4,320,539,
1844,2.3,317,442,
1845,2.3,320,493,
1846,2.3,319,481,
1847,2.4,319,486,
1848,2.1,318,438,
1849,2.6,320,507,
1850,2.5,321,502,
1851,2.6,319,517,
1852,2.4,319,572,
1853,2.2,322,467,
1854,2.6,319,504,
1857,2.3,319,487,
1859,2.5,319,483,
1860,2.3,320,457,
1861,2.2,319,441,
1862,2.4,319,470,
1863,2.3,320,449,
1864,2.5,320,478,
1865,2.5,319,484,
1866,2.2,319,441,
1867,2.4,319,473,
1868,2.4,319,472,
1869,2.3,319,505,
1870,2.6,319,515,
1871,2.3,320,504,
1872,2.3,320,451,
1873,2.3,320,454,
1874,2.4,319,475,
1875,2.5,319,480,
1876,2.4,320,474,
1877,2.3,319,466,
1878,2.3,324,459,
1879,2.4,320,471,
1880,2.2,320,448,
1881,2.4,318,467,
1882,2.3,320,440,
1883,2.7,318,493,
1884,2.6,319,507,
1885,2.6,318,504,
1886,2.4,320,471,
1887,2.3,319,494,
1888,2.2,319,479,
1889,2.3,319,533,
1890,2.8,319,546,
1891,2.2,320,447,
1892,2.3,320,451,
1894,2.4,320,479,
1895,2.2,319,451,
1896,2.3,320,476,
1897,2.5,319,487,
1898,2.7,319,570,
1899,2.4,320,471,
1900,2.3,320,456,
1901,2.4,321,484,
1902,2.7,319,522,
1903,2.3,320,467,
1904,2.4,320,464,
1905,2.6,319,509,
1906,2.3,318,470,
1907,2.1,319,445,
1908,2.2,318,448,
1909,2.2,317,459,
1910,2.2,319,463,
1911,2.2,320,442,
1913,2.3,319,459,
1914,2.6,320,550,
1915,2.3,319,478,
1916,2.4,319,479,
1917,2.6,320,513,
1918,2.2,322,468,
1919,2.3,320,448,
1920,2.3,320,445,
1921,2.1,319,454,
1922,2.2,319,471,
1923,2.4,320,461,
1924,2.4,320,465,
1925,2.2,320,479,
1926,2.4,320,484,
1927,2.5,320,486,
1928,2.4,320,468,
1929,2.2,319,457,
1930,2.4,319,472,
1931,2.2,307,502,
